SampleID	PatientID	Accession	BioProject	AccessionShotgun	Pool	run_prefix	instrument_model	platform	target_gene
1133A	FMT.0059	SRR11416386	PRJNA545312		593	1133A..pool593	Illumina MiSeq	Illumina	16S rRNA
1133B	FMT.0059	SRR11416827	PRJNA545312		594	1133B..pool594	Illumina MiSeq	Illumina	16S rRNA
1133D	FMT.0059	SRR11416816	PRJNA545312		594	1133D..pool594	Illumina MiSeq	Illumina	16S rRNA
1133E	FMT.0059	SRR11417091	PRJNA545312		594	1133E..pool594	Illumina MiSeq	Illumina	16S rRNA
932B	FMT.0017	SRR11418738	PRJNA545312		471	932B..pool471	Illumina MiSeq	Illumina	16S rRNA
932C	FMT.0017	SRR11418737	PRJNA545312		471	932C..pool471	Illumina MiSeq	Illumina	16S rRNA
932D	FMT.0017	SRR11418736	PRJNA545312		471	932D..pool471	Illumina MiSeq	Illumina	16S rRNA
932F	FMT.0017	SRR11418734	PRJNA545312		471	932F..pool471	Illumina MiSeq	Illumina	16S rRNA
932G	FMT.0017	SRR11418733	PRJNA545312		471	932G..pool471	Illumina MiSeq	Illumina	16S rRNA
934A	FMT.0085	SRR11418725	PRJNA545312		471	934A..pool471	Illumina MiSeq	Illumina	16S rRNA
934B	FMT.0085	SRR11418724	PRJNA545312		471	934B..pool471	Illumina MiSeq	Illumina	16S rRNA
934C	FMT.0085	SRR11418723	PRJNA545312		471	934C..pool471	Illumina MiSeq	Illumina	16S rRNA
934D	FMT.0085	SRR11418722	PRJNA545312		471	934D..pool471	Illumina MiSeq	Illumina	16S rRNA
FMT.0001I	FMT.0001	SRR11117017	PRJNA607574		554	FMT.0001I..pool554	Illumina MiSeq	Illumina	16S rRNA
FMT.0001L	FMT.0001	SRR11117014	PRJNA607574		594	FMT.0001L..pool594	Illumina MiSeq	Illumina	16S rRNA
FMT.0009A	FMT.0009	SRR11419675	PRJNA545312	SRR14092318	594	FMT.0009A..pool594	Illumina MiSeq	Illumina	16S rRNA
FMT.0009AA	FMT.0009	SRR11419674	PRJNA545312	SRR13221824	570	FMT.0009AA..pool570	Illumina MiSeq	Illumina	16S rRNA
FMT.0009CC	FMT.0009	SRR11419669	PRJNA545312		594	FMT.0009CC..pool594	Illumina MiSeq	Illumina	16S rRNA
FMT.0009DD	FMT.0009	SRR11419667	PRJNA545312		621	FMT.0009DD..pool621	Illumina MiSeq	Illumina	16S rRNA
FMT.0010A	FMT.0010	SRR11419616	PRJNA545312	SRR14092316	594	FMT.0010A..pool594	Illumina MiSeq	Illumina	16S rRNA
FMT.0010U	FMT.0010	SRR11117010	PRJNA607574		554	FMT.0010U..pool554	Illumina MiSeq	Illumina	16S rRNA
FMT.0010V	FMT.0010	SRR11117009	PRJNA607574		594	FMT.0010V..pool594	Illumina MiSeq	Illumina	16S rRNA
FMT.0010W	FMT.0010	SRR11117008	PRJNA607574		621	FMT.0010W..pool621	Illumina MiSeq	Illumina	16S rRNA
FMT.0012P	FMT.0012	SRR11419579	PRJNA545312		594	FMT.0012P..pool594	Illumina MiSeq	Illumina	16S rRNA
FMT.0016AA	FMT.0016	SRR11419785	PRJNA545312		728	FMT.0016AA..pool728	Illumina MiSeq	Illumina	16S rRNA
FMT.0016E	FMT.0016	SRR11419780	PRJNA545312		594	FMT.0016E..pool594	Illumina MiSeq	Illumina	16S rRNA
FMT.0016H	FMT.0016	SRR11419777	PRJNA545312		728	FMT.0016H..pool728	Illumina MiSeq	Illumina	16S rRNA
