SampleID	PatientID	Accession	BioProject	AccessionShotgun	Pool	run_prefix	instrument_model	platform	target_gene
105C	105	SRR11415011	PRJNA545312		480	105C..pool480	Illumina MiSeq	Illumina	16S rRNA
107C	107	SRR11415101	PRJNA545312		480	107C..pool480	Illumina MiSeq	Illumina	16S rRNA
107D	107	SRR11415100	PRJNA545312		480	107D..pool480	Illumina MiSeq	Illumina	16S rRNA
1140E	1140	SRR11395673	PRJNA607574		794	1140E..pool794	Illumina MiSeq	Illumina	16S rRNA
1174K	1174	SRR11416915	PRJNA545312		718	1174K..pool718	Illumina MiSeq	Illumina	16S rRNA
1174L	1174	SRR11416914	PRJNA545312		718	1174L..pool718	Illumina MiSeq	Illumina	16S rRNA
1174M	1174	SRR11416913	PRJNA545312		718	1174M..pool718	Illumina MiSeq	Illumina	16S rRNA
1176AA	1176	SRR11416911	PRJNA545312		718	1176AA..pool718	Illumina MiSeq	Illumina	16S rRNA
1176F	1176	SRR11416904	PRJNA545312		718	1176F..pool718	Illumina MiSeq	Illumina	16S rRNA
1176G	1176	SRR11416903	PRJNA545312		718	1176G..pool718	Illumina MiSeq	Illumina	16S rRNA
1176J	1176	SRR11416900	PRJNA545312		718	1176J..pool718	Illumina MiSeq	Illumina	16S rRNA
1176P	1176	SRR11417262	PRJNA545312		718	1176P..pool718	Illumina MiSeq	Illumina	16S rRNA
1176Q	1176	SRR11417261	PRJNA545312		718	1176Q..pool718	Illumina MiSeq	Illumina	16S rRNA
1176W	1176	SRR11417255	PRJNA545312		718	1176W..pool718	Illumina MiSeq	Illumina	16S rRNA
1176X	1176	SRR11423416	PRJNA545312		718	1176X..pool718	Illumina MiSeq	Illumina	16S rRNA
1176Y	1176	SRR11417254	PRJNA545312		718	1176Y..pool718	Illumina MiSeq	Illumina	16S rRNA
1176Z	1176	SRR11417252	PRJNA545312		718	1176Z..pool718	Illumina MiSeq	Illumina	16S rRNA
1179D	1179	SRR11417248	PRJNA545312	SRR14092233	718	1179D..pool718	Illumina MiSeq	Illumina	16S rRNA
1179E	1179	SRR11417247	PRJNA545312	SRR14092232	718	1179E..pool718	Illumina MiSeq	Illumina	16S rRNA
1179L	1179	SRR11414646	PRJNA545312	SRR14092230	718	1179L..pool718	Illumina MiSeq	Illumina	16S rRNA
1179M	1179	SRR11414645	PRJNA545312	SRR13697105	718	1179M..pool718	Illumina MiSeq	Illumina	16S rRNA
1179N	1179	SRR11414644	PRJNA545312	SRR13697104	718	1179N..pool718	Illumina MiSeq	Illumina	16S rRNA
1179O	1179	SRR11414643	PRJNA545312	SRR14092229	718	1179O..pool718	Illumina MiSeq	Illumina	16S rRNA
