SampleID	PatientID	Accession	BioProject	AccessionShotgun	Pool	run_prefix	instrument_model	platform	target_gene
1140F	1140	SRR11395672	PRJNA607574		845	1140F..pool845	Illumina MiSeq	Illumina	16S rRNA
1171FF	1171	SRR11417170	PRJNA545312		779	1171FF..pool779	Illumina MiSeq	Illumina	16S rRNA
1173T	1173	SRR11416475	PRJNA545312		780	1173T..pool780	Illumina MiSeq	Illumina	16S rRNA
1195HH	1195	SRR11416739	PRJNA545312		779	1195HH..pool779	Illumina MiSeq	Illumina	16S rRNA
1195II	1195	SRR11416737	PRJNA545312		779	1195II..pool779	Illumina MiSeq	Illumina	16S rRNA
1205A	1205	SRR11140091	PRJNA606262		770	1205A..pool770	Illumina MiSeq	Illumina	16S rRNA
1205B	1205	SRR11140090	PRJNA606262		770	1205B..pool770	Illumina MiSeq	Illumina	16S rRNA
1205C	1205	SRR11140089	PRJNA606262		770	1205C..pool770	Illumina MiSeq	Illumina	16S rRNA
1205D	1205	SRR11140088	PRJNA606262		770	1205D..pool770	Illumina MiSeq	Illumina	16S rRNA
1205E	1205	SRR11140087	PRJNA606262		770	1205E..pool770	Illumina MiSeq	Illumina	16S rRNA
1206A	1206	SRR11395324	PRJNA607574		770	1206A..pool770	Illumina MiSeq	Illumina	16S rRNA
1206B	1206	SRR11395323	PRJNA607574		770	1206B..pool770	Illumina MiSeq	Illumina	16S rRNA
1211A	1211	SRR11139844	PRJNA606262		770	1211A..pool770	Illumina MiSeq	Illumina	16S rRNA
1212A	1212	SRR11139850	PRJNA606262		770	1212A..pool770	Illumina MiSeq	Illumina	16S rRNA
1212B	1212	SRR11139849	PRJNA606262		770	1212B..pool770	Illumina MiSeq	Illumina	16S rRNA
1213A	1213	SRR11140003	PRJNA606262		770	1213A..pool770	Illumina MiSeq	Illumina	16S rRNA
1215A	1215	SRR11140373	PRJNA606262		770	1215A..pool770	Illumina MiSeq	Illumina	16S rRNA
1215B	1215	SRR11140372	PRJNA606262		770	1215B..pool770	Illumina MiSeq	Illumina	16S rRNA
1215C	1215	SRR11140371	PRJNA606262		770	1215C..pool770	Illumina MiSeq	Illumina	16S rRNA
1215D	1215	SRR11140370	PRJNA606262		770	1215D..pool770	Illumina MiSeq	Illumina	16S rRNA
1215E	1215	SRR11140369	PRJNA606262		770	1215E..pool770	Illumina MiSeq	Illumina	16S rRNA
1215F	1215	SRR11140368	PRJNA606262		770	1215F..pool770	Illumina MiSeq	Illumina	16S rRNA
1215G	1215	SRR11140367	PRJNA606262		770	1215G..pool770	Illumina MiSeq	Illumina	16S rRNA
1215H	1215	SRR11140366	PRJNA606262		770	1215H..pool770	Illumina MiSeq	Illumina	16S rRNA
1216A	1216	SRR11140503	PRJNA606262		770	1216A..pool770	Illumina MiSeq	Illumina	16S rRNA
1216B	1216	SRR11140502	PRJNA606262		770	1216B..pool770	Illumina MiSeq	Illumina	16S rRNA
1217A	1217	SRR11417005	PRJNA545312		770	1217A..pool770	Illumina MiSeq	Illumina	16S rRNA
1217AA	1217	SRR11417003	PRJNA545312		770	1217AA..pool770	Illumina MiSeq	Illumina	16S rRNA
1217B	1217	SRR11417002	PRJNA545312		770	1217B..pool770	Illumina MiSeq	Illumina	16S rRNA
1217C	1217	SRR11417000	PRJNA545312		770	1217C..pool770	Illumina MiSeq	Illumina	16S rRNA
1217CC	1217	SRR11416999	PRJNA545312		770	1217CC..pool770	Illumina MiSeq	Illumina	16S rRNA
1217D	1217	SRR11416998	PRJNA545312		770	1217D..pool770	Illumina MiSeq	Illumina	16S rRNA
1217F	1217	SRR11416995	PRJNA545312		770	1217F..pool770	Illumina MiSeq	Illumina	16S rRNA
