SampleID	PatientID	Accession	BioProject	AccessionShotgun	Pool	run_prefix	instrument_model	platform	target_gene
1015P	1015	SRR11415172	PRJNA545312		604	1015P..pool604	Illumina MiSeq	Illumina	16S rRNA
1020A	1020	SRR11395410	PRJNA607574		676	1020A..pool676	Illumina MiSeq	Illumina	16S rRNA
1024G	1024	SRR11414966	PRJNA545312		604	1024G..pool604	Illumina MiSeq	Illumina	16S rRNA
1025A	1025	SRR11395284	PRJNA607574		676	1025A..pool676	Illumina MiSeq	Illumina	16S rRNA
1025B	1025	SRR11395745	PRJNA607574		676	1025B..pool676	Illumina MiSeq	Illumina	16S rRNA
1036A	1036	SRR11414949	PRJNA545312		676	1036A..pool676	Illumina MiSeq	Illumina	16S rRNA
1036C	1036	SRR11414947	PRJNA545312		676	1036C..pool676	Illumina MiSeq	Illumina	16S rRNA
1036D	1036	SRR11414946	PRJNA545312		676	1036D..pool676	Illumina MiSeq	Illumina	16S rRNA
1036E	1036	SRR11414945	PRJNA545312		676	1036E..pool676	Illumina MiSeq	Illumina	16S rRNA
1036F	1036	SRR11414944	PRJNA545312		676	1036F..pool676	Illumina MiSeq	Illumina	16S rRNA
1046R	1046	SRR11415061	PRJNA545312		557	1046R..pool557	Illumina MiSeq	Illumina	16S rRNA
1046S	1046	SRR11415060	PRJNA545312		557	1046S..pool557	Illumina MiSeq	Illumina	16S rRNA
1046T	1046	SRR11415059	PRJNA545312		557	1046T..pool557	Illumina MiSeq	Illumina	16S rRNA
1046U	1046	SRR11415058	PRJNA545312		557	1046U..pool557	Illumina MiSeq	Illumina	16S rRNA
1046V	1046	SRR11415057	PRJNA545312		557	1046V..pool557	Illumina MiSeq	Illumina	16S rRNA
1046W	1046	SRR11415056	PRJNA545312		557	1046W..pool557	Illumina MiSeq	Illumina	16S rRNA
1064A	1064	SRR11414881	PRJNA545312		557	1064A..pool557	Illumina MiSeq	Illumina	16S rRNA
1064C	1064	SRR11414880	PRJNA545312		557	1064C..pool557	Illumina MiSeq	Illumina	16S rRNA
1064D	1064	SRR11414879	PRJNA545312		557	1064D..pool557	Illumina MiSeq	Illumina	16S rRNA
1064E	1064	SRR11414878	PRJNA545312		557	1064E..pool557	Illumina MiSeq	Illumina	16S rRNA
1064F	1064	SRR11414877	PRJNA545312		557	1064F..pool557	Illumina MiSeq	Illumina	16S rRNA
1064G	1064	SRR11414876	PRJNA545312		557	1064G..pool557	Illumina MiSeq	Illumina	16S rRNA
1064H	1064	SRR11414874	PRJNA545312		557	1064H..pool557	Illumina MiSeq	Illumina	16S rRNA
1064I	1064	SRR11414873	PRJNA545312		557	1064I..pool557	Illumina MiSeq	Illumina	16S rRNA
1064J	1064	SRR11414872	PRJNA545312		557	1064J..pool557	Illumina MiSeq	Illumina	16S rRNA
1064K	1064	SRR11414871	PRJNA545312		557	1064K..pool557	Illumina MiSeq	Illumina	16S rRNA
1064L	1064	SRR11414870	PRJNA545312		557	1064L..pool557	Illumina MiSeq	Illumina	16S rRNA
1064M	1064	SRR11414869	PRJNA545312		557	1064M..pool557	Illumina MiSeq	Illumina	16S rRNA
1064N	1064	SRR11414868	PRJNA545312		557	1064N..pool557	Illumina MiSeq	Illumina	16S rRNA
1064O	1064	SRR11414867	PRJNA545312		557	1064O..pool557	Illumina MiSeq	Illumina	16S rRNA
1064P	1064	SRR11414866	PRJNA545312		557	1064P..pool557	Illumina MiSeq	Illumina	16S rRNA
1064Q	1064	SRR11414865	PRJNA545312		557	1064Q..pool557	Illumina MiSeq	Illumina	16S rRNA
1064R	1064	SRR11414863	PRJNA545312		557	1064R..pool557	Illumina MiSeq	Illumina	16S rRNA
1064S	1064	SRR11414862	PRJNA545312		557	1064S..pool557	Illumina MiSeq	Illumina	16S rRNA
1064T	1064	SRR11414861	PRJNA545312		557	1064T..pool557	Illumina MiSeq	Illumina	16S rRNA
1064V	1064	SRR11414860	PRJNA545312		557	1064V..pool557	Illumina MiSeq	Illumina	16S rRNA
1066A	1066	SRR11414857	PRJNA545312		557	1066A..pool557	Illumina MiSeq	Illumina	16S rRNA
1066B	1066	SRR11415146	PRJNA545312		557	1066B..pool557	Illumina MiSeq	Illumina	16S rRNA
1066C	1066	SRR11415145	PRJNA545312		557	1066C..pool557	Illumina MiSeq	Illumina	16S rRNA
1066D	1066	SRR11415144	PRJNA545312		557	1066D..pool557	Illumina MiSeq	Illumina	16S rRNA
1066E	1066	SRR11415142	PRJNA545312		557	1066E..pool557	Illumina MiSeq	Illumina	16S rRNA
1066F	1066	SRR11415141	PRJNA545312		557	1066F..pool557	Illumina MiSeq	Illumina	16S rRNA
1066G	1066	SRR11415140	PRJNA545312		557	1066G..pool557	Illumina MiSeq	Illumina	16S rRNA
1066I	1066	SRR11415139	PRJNA545312		557	1066I..pool557	Illumina MiSeq	Illumina	16S rRNA
1066J	1066	SRR11415138	PRJNA545312		557	1066J..pool557	Illumina MiSeq	Illumina	16S rRNA
1066L	1066	SRR11415137	PRJNA545312		557	1066L..pool557	Illumina MiSeq	Illumina	16S rRNA
1066N	1066	SRR11415136	PRJNA545312		557	1066N..pool557	Illumina MiSeq	Illumina	16S rRNA
1066S	1066	SRR11415135	PRJNA545312		557	1066S..pool557	Illumina MiSeq	Illumina	16S rRNA
1070A	1070	SRR11415128	PRJNA545312		676	1070A..pool676	Illumina MiSeq	Illumina	16S rRNA
1070B	1070	SRR11415127	PRJNA545312		676	1070B..pool676	Illumina MiSeq	Illumina	16S rRNA
1070C	1070	SRR11415126	PRJNA545312		676	1070C..pool676	Illumina MiSeq	Illumina	16S rRNA
1072A	1072	SRR11415122	PRJNA545312		676	1072A..pool676	Illumina MiSeq	Illumina	16S rRNA
1075A	1075	SRR11415117	PRJNA545312		557	1075A..pool557	Illumina MiSeq	Illumina	16S rRNA
1075B	1075	SRR11115590	PRJNA607574		557	1075B..pool557	Illumina MiSeq	Illumina	16S rRNA
1075C	1075	SRR11415116	PRJNA545312		557	1075C..pool557	Illumina MiSeq	Illumina	16S rRNA
1075D	1075	SRR11415115	PRJNA545312		557	1075D..pool557	Illumina MiSeq	Illumina	16S rRNA
1075E	1075	SRR11415114	PRJNA545312		557	1075E..pool557	Illumina MiSeq	Illumina	16S rRNA
1092A	1092	SRR11414513	PRJNA545312		676	1092A..pool676	Illumina MiSeq	Illumina	16S rRNA
1092B	1092	SRR11414512	PRJNA545312		676	1092B..pool676	Illumina MiSeq	Illumina	16S rRNA
1092C	1092	SRR11414511	PRJNA545312		676	1092C..pool676	Illumina MiSeq	Illumina	16S rRNA
1092D	1092	SRR11414510	PRJNA545312		676	1092D..pool676	Illumina MiSeq	Illumina	16S rRNA
1092E	1092	SRR11414509	PRJNA545312		676	1092E..pool676	Illumina MiSeq	Illumina	16S rRNA
1092F	1092	SRR11414508	PRJNA545312		676	1092F..pool676	Illumina MiSeq	Illumina	16S rRNA
1092G	1092	SRR11414507	PRJNA545312		676	1092G..pool676	Illumina MiSeq	Illumina	16S rRNA
1092H	1092	SRR11414506	PRJNA545312		676	1092H..pool676	Illumina MiSeq	Illumina	16S rRNA
1092I	1092	SRR11414504	PRJNA545312		676	1092I..pool676	Illumina MiSeq	Illumina	16S rRNA
1092J	1092	SRR11414503	PRJNA545312		676	1092J..pool676	Illumina MiSeq	Illumina	16S rRNA
1092K	1092	SRR11414502	PRJNA545312		676	1092K..pool676	Illumina MiSeq	Illumina	16S rRNA
1092L	1092	SRR11414501	PRJNA545312		604	1092L..pool604	Illumina MiSeq	Illumina	16S rRNA
1092M	1092	SRR11414500	PRJNA545312		604	1092M..pool604	Illumina MiSeq	Illumina	16S rRNA
1092N	1092	SRR11414499	PRJNA545312		604	1092N..pool604	Illumina MiSeq	Illumina	16S rRNA
1092O	1092	SRR11414498	PRJNA545312		676	1092O..pool676	Illumina MiSeq	Illumina	16S rRNA
1103A	1103	SRR11395519	PRJNA607574		676	1103A..pool676	Illumina MiSeq	Illumina	16S rRNA
1103B	1103	SRR11395508	PRJNA607574		676	1103B..pool676	Illumina MiSeq	Illumina	16S rRNA
1103D	1103	SRR11395497	PRJNA607574		676	1103D..pool676	Illumina MiSeq	Illumina	16S rRNA
1103E	1103	SRR11395180	PRJNA607574		676	1103E..pool676	Illumina MiSeq	Illumina	16S rRNA
1103F	1103	SRR11395137	PRJNA607574		676	1103F..pool676	Illumina MiSeq	Illumina	16S rRNA
1103G	1103	SRR11395126	PRJNA607574		676	1103G..pool676	Illumina MiSeq	Illumina	16S rRNA
1103I	1103	SRR11395007	PRJNA607574		604	1103I..pool604	Illumina MiSeq	Illumina	16S rRNA
1103J	1103	SRR11394996	PRJNA607574		676	1103J..pool676	Illumina MiSeq	Illumina	16S rRNA
1128F	1128	SRR11417196	PRJNA545312		604	1128F..pool604	Illumina MiSeq	Illumina	16S rRNA
1136B	1136	SRR11417030	PRJNA545312		604	1136B..pool604	Illumina MiSeq	Illumina	16S rRNA
1138C	1138	SRR11395742	PRJNA607574		604	1138C..pool604	Illumina MiSeq	Illumina	16S rRNA
1140B	1140	SRR11140494	PRJNA606262		604	1140B..pool604	Illumina MiSeq	Illumina	16S rRNA
1141B	1141	SRR11416378	PRJNA545312		604	1141B..pool604	Illumina MiSeq	Illumina	16S rRNA
