SampleID	PatientID	Accession	BioProject	AccessionShotgun	Pool	run_prefix	instrument_model	platform	target_gene
1015Q	1015	SRR11415171	PRJNA545312		754	1015Q..pool754	Illumina MiSeq	Illumina	16S rRNA
1015R	1015	SRR11415170	PRJNA545312		754	1015R..pool754	Illumina MiSeq	Illumina	16S rRNA
1015S	1015	SRR11415169	PRJNA545312		754	1015S..pool754	Illumina MiSeq	Illumina	16S rRNA
1015T	1015	SRR11415168	PRJNA545312		754	1015T..pool754	Illumina MiSeq	Illumina	16S rRNA
1015U	1015	SRR11415167	PRJNA545312		754	1015U..pool754	Illumina MiSeq	Illumina	16S rRNA
1015V	1015	SRR11415166	PRJNA545312		754	1015V..pool754	Illumina MiSeq	Illumina	16S rRNA
1015W	1015	SRR11415165	PRJNA545312		754	1015W..pool754	Illumina MiSeq	Illumina	16S rRNA
1015X	1015	SRR11415164	PRJNA545312		754	1015X..pool754	Illumina MiSeq	Illumina	16S rRNA
1022C	1022	SRR11415148	PRJNA545312		754	1022C..pool754	Illumina MiSeq	Illumina	16S rRNA
1037E	1037	SRR11414942	PRJNA545312		754	1037E..pool754	Illumina MiSeq	Illumina	16S rRNA
1037F	1037	SRR11414541	PRJNA545312		754	1037F..pool754	Illumina MiSeq	Illumina	16S rRNA
1037G	1037	SRR11414540	PRJNA545312		754	1037G..pool754	Illumina MiSeq	Illumina	16S rRNA
103F	103	SRR11414533	PRJNA545312		502	103F..pool502	Illumina MiSeq	Illumina	16S rRNA
1042I	1042	SRR11414755	PRJNA545312	SRR13697113	556	1042I..pool556	Illumina MiSeq	Illumina	16S rRNA
1042J	1042	SRR11414753	PRJNA545312	SRR13697102	556	1042J..pool556	Illumina MiSeq	Illumina	16S rRNA
1042K	1042	SRR11414751	PRJNA545312	SRR14092346	556	1042K..pool556	Illumina MiSeq	Illumina	16S rRNA
1042L	1042	SRR11414748	PRJNA545312	SRR13697144	556	1042L..pool556	Illumina MiSeq	Illumina	16S rRNA
1042M	1042	SRR11414747	PRJNA545312	SRR14092324	556	1042M..pool556	Illumina MiSeq	Illumina	16S rRNA
1042N	1042	SRR11414746	PRJNA545312	SRR14092313	556	1042N..pool556	Illumina MiSeq	Illumina	16S rRNA
1042O	1042	SRR11414745	PRJNA545312	SRR14092174	556	1042O..pool556	Illumina MiSeq	Illumina	16S rRNA
1042P	1042	SRR11414744	PRJNA545312	SRR14092163	556	1042P..pool556	Illumina MiSeq	Illumina	16S rRNA
1042Q	1042	SRR11414743	PRJNA545312	SRR14092312	556	1042Q..pool556	Illumina MiSeq	Illumina	16S rRNA
1042R	1042	SRR11414742	PRJNA545312	SRR14092301	556	1042R..pool556	Illumina MiSeq	Illumina	16S rRNA
1042S	1042	SRR11414741	PRJNA545312	SRR14092290	556	1042S..pool556	Illumina MiSeq	Illumina	16S rRNA
1042T	1042	SRR11414740	PRJNA545312	SRR14092279	556	1042T..pool556	Illumina MiSeq	Illumina	16S rRNA
1042U	1042	SRR11414738	PRJNA545312	SRR13697133	556	1042U..pool556	Illumina MiSeq	Illumina	16S rRNA
1042V	1042	SRR11414737	PRJNA545312	SRR14092271	556	1042V..pool556	Illumina MiSeq	Illumina	16S rRNA
1042W	1042	SRR11414736	PRJNA545312	SRR14092270	556	1042W..pool556	Illumina MiSeq	Illumina	16S rRNA
1042X	1042	SRR11414735	PRJNA545312	SRR13697186	556	1042X..pool556	Illumina MiSeq	Illumina	16S rRNA
1042Y	1042	SRR11414734	PRJNA545312	SRR14092269	556	1042Y..pool556	Illumina MiSeq	Illumina	16S rRNA
1042Z	1042	SRR11414733	PRJNA545312	SRR14092268	556	1042Z..pool556	Illumina MiSeq	Illumina	16S rRNA
1044A	1044	SRR11414730	PRJNA545312	SRR14092267	556	1044A..pool556	Illumina MiSeq	Illumina	16S rRNA
1044B	1044	SRR11414729	PRJNA545312	SRR14092266	556	1044B..pool556	Illumina MiSeq	Illumina	16S rRNA
